condition,seed,n_items,accuracy,coverage,item_errors,ctx_precision(RAGAS),tokens,status
BM25,42,256,0.555,1.0,0,0.111,551781,Done
BM25,7,256,0.559,1.0,0,0.111,551777,Done
BM25,123,256,0.566,1.0,0,0.111,551776,Done
Dense-MedCPT,123,256,0.551,1.0,0,0.625,567514,Done
Dense-MedCPT,42,256,0.555,1.0,0,0.625,567748,Done
Dense-MedCPT,7,256,0.555,1.0,0,0.625,567748,Done
Graph-only,42,256,0.535,1.0,0,0.167,531241,Done
Graph-only,7,256,0.547,1.0,0,0.167,531241,Done
Graph-only,123,256,0.562,1.0,0,0.167,531237,Done
Hybrid-CARRF,123,256,0.535,1.0,0,0.417,537300,Done
Hybrid-CARRF,7,256,0.551,1.0,0,0.417,537302,Done
Hybrid-CARRF,42,256,0.547,1.0,0,0.417,537303,Done
Hybrid-CARRF-CARe,42,256,0.543,1.0,0,0.375,537150,Done
Hybrid-CARRF-CARe,123,256,0.547,1.0,0,0.375,537311,Done
Hybrid-CARRF-CARe,7,256,0.539,1.0,0,0.375,537299,Done
No-RAG,123,256,0.594,1.0,0,0.0,72678,Done
No-RAG,7,256,0.59,1.0,0,0.0,72676,Done
No-RAG,42,256,0.598,1.0,0,0.0,72677,Done
